type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
TRANSFER,6188514.81,C135832352,6188514.81,0,C2009346140,0,0,1
CASH_OUT,6188514.81,C686187434,6188514.81,0,C1562904239,381607.21,6424681.56,1
TRANSFER,123194.95,C2143112877,79466.45,0,C1755380031,535933.16,263908.84,1
TRANSFER,2093951.47,C1374377088,2093951.47,0,C207611232,0,0,1
CASH_OUT,2093951.47,C1440901488,2093951.47,0,C166839225,0,2093951.47,1
TRANSFER,143032,C1960144830,143032,0,C801162238,0,0,1
CASH_OUT,143032,C465166521,143032,0,C487776685,814654.61,1020323.73,1
TRANSFER,2927005.15,C2081788795,2927005.15,0,C2138456206,0,0,1
CASH_OUT,2927005.15,C2010427735,2927005.15,0,C1887744176,0,2994420.07,1
TRANSFER,1832319.42,C439830884,1832319.42,0,C1133002328,0,0,1
CASH_OUT,1832319.42,C803703656,1832319.42,0,C858007309,43962.42,2440139.69,1
TRANSFER,1561891.66,C736093511,1561891.66,0,C1224081716,0,0,1
CASH_OUT,1561891.66,C15204463,1561891.66,0,C1255502452,3471928.95,6443177.56,1
TRANSFER,65488.05,C236875489,65488.05,0,C528705657,0,0,1
CASH_OUT,65488.05,C1137669976,65488.05,0,C1526507740,0,65488.05,1
TRANSFER,696763.08,C968403759,696763.08,0,C1524019269,0,69861.26,1
CASH_OUT,696763.08,C725915377,696763.08,0,C1656726101,366114.58,1347073.81,1
TRANSFER,119,C1995557473,119,0,C1480876722,0,0,1
CASH_OUT,119,C1584512618,119,0,C2102058838,4844060.13,4844179.13,1
TRANSFER,128473.62,C1012580160,128473.62,0,C540657255,0,0,1
CASH_OUT,128473.62,C905234452,128473.62,0,C786510892,0,128473.62,1
TRANSFER,248056.41,C1474711983,248056.41,0,C1009564356,0,0,1
CASH_OUT,248056.41,C1055229266,248056.41,0,C1689170857,0,201427.47,1
TRANSFER,164500.81,C1761347420,164500.81,0,C383804904,0,0,1
CASH_OUT,164500.81,C1689700172,164500.81,0,C149696600,685636.21,850137.02,1
TRANSFER,212089.74,C378910639,212089.74,0,C1881567873,0,0,1
CASH_OUT,212089.74,C1970843703,212089.74,0,C597280894,257758.48,469848.23,1
CASH_OUT,95428.32,C947728507,0,0,C1720721903,0,95428.32,1
CASH_OUT,39713.28,C1404885898,0,0,C1795377601,1274866.51,1314579.79,1
TRANSFER,170,C553034695,170,0,C26381896,0,0,1
CASH_OUT,170,C1065370362,170,0,C200064275,413421.36,345764.15,1
TRANSFER,747282.4,C1695793096,747282.4,0,C849010584,0,0,1
CASH_OUT,747282.4,C842684426,747282.4,0,C2025644484,5340917.82,6088200.22,1
TRANSFER,59385.67,C1275373422,59385.67,0,C1704707395,0,0,1
CASH_OUT,59385.67,C1765315298,59385.67,0,C721356209,74371,133756.67,1
TRANSFER,2198224.71,C752563135,2198224.71,0,C247007952,0,0,1
CASH_OUT,2198224.71,C705981026,2198224.71,0,C697783649,0,2198224.71,1
TRANSFER,828720.89,C1422357582,828720.89,0,C366986030,0,0,1
CASH_OUT,828720.89,C1002446735,828720.89,0,C185805228,9142622.59,10184336.54,1
TRANSFER,2701905.3,C494334546,2701905.3,0,C428725863,0,0,1
CASH_OUT,2701905.3,C2140905252,2701905.3,0,C970796050,57418,2759323.3,1
TRANSFER,31074,C457962127,31074,0,C614104997,0,0,1
CASH_OUT,31074,C2073757635,31074,0,C1899325653,0,31074,1
TRANSFER,121626.82,C185016231,121626.82,0,C1409959,0,0,1
CASH_OUT,121626.82,C828364266,121626.82,0,C101179743,653744.34,775371.16,1
TRANSFER,1639676.27,C15998296,1639676.27,0,C1652158314,0,0,1
CASH_OUT,1639676.27,C967691562,1639676.27,0,C2093967426,448954.92,2198318.48,1
TRANSFER,305627,C1711670940,305627,0,C385061535,0,0,1
CASH_OUT,305627,C1600031018,305627,0,C1971951800,7699847.16,8005474.16,1
TRANSFER,195351.76,C1420261366,195351.76,0,C639808302,0,0,1
CASH_OUT,195351.76,C268542581,195351.76,0,C504693752,156408.25,265841,1
CASH_OUT,42062.82,C897869440,340830.43,298767.61,C616721459,398931.35,678419.64,1
TRANSFER,295664.18,C1726326177,295664.18,0,C1540448785,0,0,1
CASH_OUT,295664.18,C1446413189,295664.18,0,C185805228,10184336.54,10480000.72,1
TRANSFER,307739.18,C1066119351,307739.18,0,C702410034,0,0,1
CASH_OUT,307739.18,C281912643,307739.18,0,C1264205758,25326,838246.41,1
CASH_OUT,314251.58,C1462280812,75956.47,0,C90486891,7962205.25,8276456.84,1
TRANSFER,1102133.9,C590103740,1102133.9,0,C1610372134,0,746575.95,1
CASH_OUT,1102133.9,C1213142549,1102133.9,0,C1880832297,306228.56,1408362.45,1
TRANSFER,1144089.37,C1218322192,1144089.37,0,C1107369132,0,0,1
CASH_OUT,1144089.37,C1542410200,1144089.37,0,C183389809,2502877.26,3879210.29,1
TRANSFER,1974352.3,C745648946,1974352.3,0,C1091334879,0,0,1
CASH_OUT,1974352.3,C365968372,1974352.3,0,C579837876,15531.71,1989884.01,1
TRANSFER,11481,C370107492,11481,0,C1680789799,0,263492.28,1
CASH_OUT,11481,C779194867,11481,0,C1475456951,761417.61,1765080.5,1
CASH_OUT,508782.2,C576782065,0,0,C2090737806,1082007.65,1590789.85,1
TRANSFER,9131,C1592623877,9131,0,C87183368,0,0,1
CASH_OUT,9131,C895161073,9131,0,C1762082057,133084.02,142215.02,1
TRANSFER,143660.11,C1156611770,143660.11,0,C742977582,0,0,1
CASH_OUT,143660.11,C681501417,143660.11,0,C447183071,0,143660.11,1
TRANSFER,3477438.49,C767243506,3477438.49,0,C1532877354,0,0,1
CASH_OUT,3477438.49,C841995363,3477438.49,0,C1314676285,0,3477438.49,1
CASH_OUT,122101.57,C149845822,0,0,C1200316948,0,639940.2,1
TRANSFER,161939.36,C263177591,161939.36,0,C94435408,0,0,1
CASH_OUT,161939.36,C1993475473,161939.36,0,C1832323051,628935.02,851972.34,1
TRANSFER,1.00E+07,C416779475,11861008.32,1861008.32,C380259496,0,0,1
CASH_OUT,1.00E+07,C2050703310,1.00E+07,0,C1622860679,504326.62,10342417.9,1
TRANSFER,1861008.32,C1990303942,1861008.32,0,C1308678191,0,0,1
CASH_OUT,1861008.32,C1718961034,1861008.32,0,C714051433,0,1789942.62,1
TRANSFER,16614.82,C2080146129,16614.82,0,C748889213,0,0,1
CASH_OUT,16614.82,C530844914,16614.82,0,C1614121155,904409.29,921024.11,1
TRANSFER,448025.06,C1976637754,448025.06,0,C4020115,0,0,1
CASH_OUT,448025.06,C348303891,448025.06,0,C1432596631,71679.93,519704.99,1
TRANSFER,785323,C1204079316,785323,0,C637091706,0,0,1
CASH_OUT,785323,C1794798581,785323,0,C801984124,803839.25,1720783.92,1
TRANSFER,158299.34,C278180302,158299.34,0,C1551346623,0,0,1
CASH_OUT,158299.34,C179332971,158299.34,0,C631110333,36152.54,271369.74,1
CASH_OUT,23292.3,C1861214292,0,0,C1834461593,392364.62,415656.92,1
TRANSFER,346704.55,C1332180070,346704.55,0,C2027621451,0,0,1
CASH_OUT,346704.55,C54851371,346704.55,0,C943084296,513994.79,860699.34,1
TRANSFER,461509.86,C1765744035,461509.86,0,C788887602,0,0,1
CASH_OUT,461509.86,C2141057802,461509.86,0,C802885021,302583.81,764093.67,1
TRANSFER,37100.29,C362085592,37100.29,0,C1652057111,0,0,1
CASH_OUT,37100.29,C142707413,37100.29,0,C63948986,433212.41,470312.7,1
TRANSFER,235512.2,C480136801,235512.2,0,C160106315,0,0,1
CASH_OUT,235512.2,C1956707614,235512.2,0,C1481851679,8490637.21,9272647.09,1
TRANSFER,2068118.36,C1472367087,2068118.36,0,C52390890,0,0,1
CASH_OUT,2068118.36,C1672125863,2068118.36,0,C559485820,3054285.45,5122403.81,1
TRANSFER,74804.24,C1239771149,74804.24,0,C1699565892,0,0,1
CASH_OUT,74804.24,C1683055902,74804.24,0,C313857348,0,74804.24,1
TRANSFER,489767.32,C869780206,489767.32,0,C926230389,0,0,1
CASH_OUT,489767.32,C480109552,489767.32,0,C720599914,0,489767.32,1
TRANSFER,379878,C336424141,379878,0,C404961694,0,0,1
CASH_OUT,379878,C1495269307,379878,0,C475345362,1301414.19,1681292.19,1
CASH_OUT,89571.46,C1022920965,4505.6,0,C1460548505,1929428.01,2018999.47,1
TRANSFER,1258956.71,C1209224134,1258956.71,0,C314012937,0,0,1
CASH_OUT,1258956.71,C673988903,1258956.71,0,C833477645,4736010.72,5994967.43,1
TRANSFER,77773.14,C834571675,77773.14,0,C312865842,0,0,1
CASH_OUT,77773.14,C598573300,77773.14,0,C2060664104,1853403.61,1931176.75,1
TRANSFER,239646.72,C1977304181,239646.72,0,C1053513851,0,0,1
CASH_OUT,239646.72,C663158205,239646.72,0,C1104558647,2208970.26,2448616.98,1
TRANSFER,146127.1,C1866778945,146127.1,0,C225469649,0,0,1
CASH_OUT,146127.1,C785373587,146127.1,0,C1824914593,177874.39,324001.49,1
TRANSFER,291305.98,C71665357,291305.98,0,C1607901570,0,0,1
CASH_OUT,291305.98,C1962370851,291305.98,0,C1560190757,954554.82,1247963.68,1
TRANSFER,986876.27,C1702714599,986876.27,0,C83459379,0,0,1
CASH_OUT,986876.27,C1896884992,986876.27,0,C309078889,57853.96,1044730.24,1
TRANSFER,6844.73,C997222163,6844.73,0,C761549792,0,0,1
CASH_OUT,6844.73,C2006451816,6844.73,0,C1380348902,264100.7,270945.42,1
TRANSFER,8383.17,C282822245,8383.17,0,C1731493383,0,0,1
CASH_OUT,8383.17,C644686763,8383.17,0,C980380973,6577262.64,6585645.81,1
TRANSFER,781953.11,C763225876,781953.11,0,C1927695058,0,0,1
CASH_OUT,781953.11,C1665079678,781953.11,0,C1566512642,0,781953.11,1
TRANSFER,217231,C1527375688,217231,0,C658289217,0,0,1
CASH_OUT,217231,C1847744332,217231,0,C1181708889,7236671.1,7453902.1,1
TRANSFER,44829.81,C589374615,44829.81,0,C1612426642,0,0,1
CASH_OUT,44829.81,C1812532920,44829.81,0,C1135869087,301552.31,346382.12,1
TRANSFER,296333.54,C1473328942,296333.54,0,C1650053869,0,0,1
CASH_OUT,296333.54,C1938399138,296333.54,0,C257884050,3355664.68,3651998.22,1
TRANSFER,18126.95,C556483673,18126.95,0,C946378506,0,0,1
CASH_OUT,18126.95,C57087263,18126.95,0,C1574807586,0,18126.95,1
TRANSFER,249159.26,C862942009,249159.26,0,C1488413166,0,0,1
CASH_OUT,249159.26,C1962232117,249159.26,0,C750661006,285997.41,535156.67,1
TRANSFER,1698263.69,C1865185181,1698263.69,0,C388097316,0,0,1
CASH_OUT,1698263.69,C902520408,1698263.69,0,C1047966944,0,1698263.69,1
TRANSFER,802382.45,C127098115,802382.45,0,C1570699013,0,0,1
CASH_OUT,802382.45,C1343455954,802382.45,0,C1045004287,0,802382.45,1
TRANSFER,37065.55,C1952239554,37065.55,0,C399460584,0,0,1
CASH_OUT,37065.55,C281192595,37065.55,0,C514736179,1396327.66,1433393.21,1
TRANSFER,369186.87,C1879175902,369186.87,0,C900709443,0,0,1
CASH_OUT,369186.87,C1121219802,369186.87,0,C418751321,36224.11,405410.97,1
TRANSFER,78741.64,C1482114822,78741.64,0,C2123466960,0,0,1
CASH_OUT,78741.64,C1993214834,78741.64,0,C1402138462,48628.52,127370.16,1
TRANSFER,1646181.09,C700083141,1646181.09,0,C1359428492,0,0,1
CASH_OUT,1646181.09,C441238852,1646181.09,0,C2059240998,220025.2,1866206.29,1
TRANSFER,331829.94,C1549516546,331829.94,0,C1908627867,0,0,1
CASH_OUT,331829.94,C1357985676,331829.94,0,C255246845,792855.99,1124685.94,1
TRANSFER,1027152.36,C414159853,1027152.36,0,C1087566727,0,0,1
CASH_OUT,1027152.36,C1016323653,1027152.36,0,C409414944,519428.56,1546580.92,1
TRANSFER,494244.61,C1529468267,494244.61,0,C1924171481,0,0,1
CASH_OUT,494244.61,C1544211314,494244.61,0,C1751768780,653451.43,1147696.03,1
TRANSFER,329937.88,C699198167,329937.88,0,C2064246111,0,0,1
CASH_OUT,329937.88,C148278282,329937.88,0,C1783581377,349407.23,679345.1,1
TRANSFER,496128.26,C842027258,496128.26,0,C136618845,0,0,1
CASH_OUT,496128.26,C705152518,496128.26,0,C741210093,465770.07,961898.33,1
TRANSFER,1218165.88,C361429301,1218165.88,0,C550179566,0,0,1
CASH_OUT,1218165.88,C807604201,1218165.88,0,C849028719,742564.27,1960730.15,1
TRANSFER,3832058.34,C1279307827,3832058.34,0,C1124913173,0,0,1
CASH_OUT,3832058.34,C426880249,3832058.34,0,C1566081912,531662.14,4363720.48,1
TRANSFER,491517.77,C1029198062,491517.77,0,C1534111155,0,0,1
CASH_OUT,491517.77,C1198658385,491517.77,0,C523126423,518777.34,1010295.11,1
TRANSFER,340198.41,C491994230,340198.41,0,C772681684,0,0,1
CASH_OUT,340198.41,C1369188336,340198.41,0,C1627551181,1614043.79,1954242.21,1
TRANSFER,268641.82,C775733773,268641.82,0,C2121303056,0,0,1
CASH_OUT,268641.82,C2038670336,268641.82,0,C1068543577,197163.95,465805.77,1
TRANSFER,122235.11,C1279213624,122235.11,0,C2100791242,0,0,1
CASH_OUT,122235.11,C356571967,122235.11,0,C1905066109,0,122235.11,1
TRANSFER,236947.25,C1273047168,236947.25,0,C1636242484,0,0,1
CASH_OUT,236947.25,C474899128,236947.25,0,C116505755,70084.28,307031.53,1
TRANSFER,19016.22,C182136548,19016.22,0,C717672329,0,0,1
CASH_OUT,19016.22,C1257554854,19016.22,0,C1044117371,9347999.52,9367015.74,1
TRANSFER,109401.88,C2037269206,109401.88,0,C337579043,0,0,1
CASH_OUT,109401.88,C984153855,109401.88,0,C1806203979,245588.62,354990.5,1
TRANSFER,335219.49,C1775717184,335219.49,0,C1987320319,0,0,1
CASH_OUT,335219.49,C89283631,335219.49,0,C1228650470,111675.56,446895.05,1
TRANSFER,120406.39,C237098657,120406.39,0,C1177827371,0,0,1
CASH_OUT,120406.39,C1938001564,120406.39,0,C878440089,0,120406.39,1
TRANSFER,21516.38,C551376615,21516.38,0,C2121782042,0,0,1
CASH_OUT,21516.38,C939116023,21516.38,0,C1335084969,900122.84,921639.22,1
TRANSFER,378204.02,C620879020,378204.02,0,C929929591,0,0,1
CASH_OUT,378204.02,C1309442409,378204.02,0,C1009459055,0,378204.02,1
TRANSFER,5021186.54,C1848562108,5021186.54,0,C1803198527,0,0,1
CASH_OUT,5021186.54,C1520365660,5021186.54,0,C1308026520,880859.14,5902045.68,1
TRANSFER,587031.2,C1909564191,587031.2,0,C2047987632,0,0,1
CASH_OUT,587031.2,C1534882693,587031.2,0,C534658891,338247.75,925278.94,1
TRANSFER,81867.07,C1128786535,81867.07,0,C9901046,0,0,1
CASH_OUT,81867.07,C1861680707,81867.07,0,C2064372710,135117.98,216985.05,1
TRANSFER,2023920.09,C306405849,2023920.09,0,C193080093,0,0,1
CASH_OUT,2023920.09,C706467919,2023920.09,0,C338077337,1530400.88,3554320.97,1
TRANSFER,404165.06,C1458768825,404165.06,0,C206316722,0,0,1
CASH_OUT,404165.06,C254731202,404165.06,0,C1749677978,0,404165.06,1
TRANSFER,1164448.96,C107615831,1164448.96,0,C144473930,0,0,1
CASH_OUT,1164448.96,C1925676917,1164448.96,0,C2040690699,1080246.34,2244695.29,1
TRANSFER,401575.19,C2084058641,401575.19,0,C1017580631,0,0,1
CASH_OUT,401575.19,C1684571589,401575.19,0,C1619036760,0,401575.19,1
TRANSFER,604933.67,C1769820937,604933.67,0,C1536446312,0,0,1
CASH_OUT,604933.67,C1085892947,604933.67,0,C1138178950,35839.7,640773.38,1
TRANSFER,3295227.84,C1152596026,3295227.84,0,C1976114093,0,0,1
CASH_OUT,3295227.84,C1587398978,3295227.84,0,C1560573396,0,4002861.53,1
TRANSFER,214975.9,C304547800,214975.9,0,C155793474,0,0,1
CASH_OUT,214975.9,C6796051,214975.9,0,C677541710,152331.28,374513.69,1
TRANSFER,1.00E+07,C1439740840,19887819.06,9887819.06,C875288652,0,0,1
CASH_OUT,1.00E+07,C29118015,1.00E+07,0,C1379703840,0,1.00E+07,1
