customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
'C1079254393','1','F','28007','M3697346','28007','es_leisure',352.7,1
'C1174735331','3','F','28007','M1649169323','28007','es_sportsandtoys',1041.31,1
'C957324981','4','M','28007','M1649169323','28007','es_sportsandtoys',591.83,1
'C375144053','6','F','28007','M923029380','28007','es_home',298.44,1
'C375144053','6','F','28007','M923029380','28007','es_home',112.77,1
'C1079254393','1','F','28007','M480139044','28007','es_health',905.54,1
'C375144053','6','F','28007','M480139044','28007','es_health',1126.96,1
'C1273692645','3','M','28007','M480139044','28007','es_health',222.26,1
'C1273692645','3','M','28007','M480139044','28007','es_health',399.22,1
'C1764447156','3','F','28007','M495352832','28007','es_travel',3387.85,1
'C1354768768','1','F','28007','M495352832','28007','es_travel',6888.3,1
'C1464489812','4','M','28007','M980657600','28007','es_sportsandtoys',397.63,1
'C309177915','3','M','28007','M980657600','28007','es_sportsandtoys',92.01,1
'C1464489812','4','M','28007','M480139044','28007','es_health',809.46,1
'C1338125837','3','F','28007','M480139044','28007','es_health',896.93,1
'C1434797923','3','M','28007','M857378720','28007','es_hotelservices',396.36,1
'C1275518867','5','F','28007','M857378720','28007','es_hotelservices',661.53,1
'C1338125837','3','F','28007','M480139044','28007','es_health',801.49,1
'C583110837','3','M','28007','M480139044','28007','es_health',149.11,1
'C1275518867','5','F','28007','M480139044','28007','es_health',265.33,1
'C1338125837','3','F','28007','M480139044','28007','es_health',167.27,1
'C1181615831','3','M','28007','M17379832','28007','es_sportsandtoys',836.04,1
'C1556534733','3','F','28007','M17379832','28007','es_sportsandtoys',195.37,1
'C2018553540','4','F','28007','M3697346','28007','es_leisure',326.34,1
'C2018553540','4','F','28007','M3697346','28007','es_leisure',307.06,1
'C2005070127','2','F','28007','M2122776122','28007','es_home',646.92,1
'C1275518867','5','F','28007','M2122776122','28007','es_home',526.09,1
'C2079384186','2','F','28007','M1294758098','28007','es_leisure',349.85,1
'C1237476993','1','M','28007','M1294758098','28007','es_leisure',153.08,1
'C1685492470','2','F','28007','M547558035','28007','es_fashion',141.83,1
'C1454826238','2','F','28007','M547558035','28007','es_fashion',22.43,1
'C1791524453','2','F','28007','M480139044','28007','es_health',388.51,1
'C1275518867','5','F','28007','M480139044','28007','es_health',41.98,1
'C732771224','4','F','28007','M2122776122','28007','es_home',788.67,1
'C422403315','0','F','28007','M2122776122','28007','es_home',1167.18,1
'C1949984685','2','F','28007','M1294758098','28007','es_leisure',184.72,1
'C792341594','3','M','28007','M1294758098','28007','es_leisure',258.01,1
'C1859195979','3','F','28007','M857378720','28007','es_hotelservices',30.04,1
'C1859195979','3','F','28007','M857378720','28007','es_hotelservices',586.05,1
'C179390259','4','F','28007','M480139044','28007','es_health',663.53,1
'C553434543','2','M','28007','M480139044','28007','es_health',297.09,1
'C1275518867','5','F','28007','M1198415165','28007','es_wellnessandbeauty',110.9,1
'C1205257074','1','F','28007','M1198415165','28007','es_wellnessandbeauty',486.35,1
'C1275518867','5','F','28007','M980657600','28007','es_sportsandtoys',1022.06,1
'C1560676680','2','F','28007','M980657600','28007','es_sportsandtoys',532.05,1
'C1685492470','2','F','28007','M17379832','28007','es_sportsandtoys',253.25,1
'C1367581052','4','M','28007','M17379832','28007','es_sportsandtoys',38.2,1
'C1275518867','5','F','28007','M480139044','28007','es_health',264.99,1
'C2079384186','2','F','28007','M480139044','28007','es_health',143.1,1
'C1079254393','1','F','28007','M923029380','28007','es_home',29.82,1
'C525850964','2','F','28007','M923029380','28007','es_home',503.68,1
'C1312615175','4','F','28007','M980657600','28007','es_sportsandtoys',478.89,1
'C1173530601','2','M','28007','M980657600','28007','es_sportsandtoys',283.25,1
'C656851338','2','F','28007','M1748431652','28007','es_wellnessandbeauty',243.05,1
'C1079254393','1','F','28007','M1748431652','28007','es_wellnessandbeauty',415.19,1
'C576436654','6','F','28007','M151143676','28007','es_barsandrestaurants',195.81,1
'C576436654','6','F','28007','M151143676','28007','es_barsandrestaurants',42.64,1
'C1275518867','5','F','28007','M732195782','28007','es_travel',891,1
'C1275518867','5','F','28007','M732195782','28007','es_travel',1304.93,1
'C615281750','3','F','28007','M1888755466','28007','es_otherservices',41.48,1
'C1307336396','2','F','28007','M1888755466','28007','es_otherservices',572.01,1
'C656901929','4','M','28007','M1294758098','28007','es_leisure',242.03,1
'C1450140987','4','F','28007','M1294758098','28007','es_leisure',272.16,1
'C1920498287','2','M','28007','M980657600','28007','es_sportsandtoys',43.89,1
'C2018553540','4','F','28007','M980657600','28007','es_sportsandtoys',546.26,1
'C525850964','2','F','28007','M980657600','28007','es_sportsandtoys',158.25,1
'C1736605496','4','M','28007','M980657600','28007','es_sportsandtoys',358.25,1
'C309177915','3','M','28007','M980657600','28007','es_sportsandtoys',1079.27,1
'C1744858817','6','M','28007','M980657600','28007','es_sportsandtoys',404.39,1
'C1685492470','2','F','28007','M732195782','28007','es_travel',653.5,1
'C375144053','6','F','28007','M732195782','28007','es_travel',7432.48,1
'C1231572628','3','F','28007','M480139044','28007','es_health',490.84,1
'C1572610482','3','F','28007','M480139044','28007','es_health',644.59,1
'C1342849651','1','M','28007','M980657600','28007','es_sportsandtoys',84.65,1
'C1038215695','4','M','28007','M980657600','28007','es_sportsandtoys',279.15,1
'C446179646','5','F','28007','M840466850','28007','es_tech',585.13,1
'C446179646','5','F','28007','M840466850','28007','es_tech',848.4,1
'C967677653','4','F','28007','M855959430','28007','es_hyper',174.29,1
'C1307336396','2','F','28007','M855959430','28007','es_hyper',131.24,1
'C126638730','3','F','28007','M980657600','28007','es_sportsandtoys',281.12,1
'C1920498287','2','M','28007','M980657600','28007','es_sportsandtoys',709.28,1
'C931370744','2','F','28007','M980657600','28007','es_sportsandtoys',426.7,1
'C375144053','6','F','28007','M980657600','28007','es_sportsandtoys',213.53,1
'C831905583','3','M','28007','M840466850','28007','es_tech',124.92,1
'C553434543','2','M','28007','M840466850','28007','es_tech',446.8,1
'C1338125837','3','F','28007','M980657600','28007','es_sportsandtoys',108.07,1
'C330615170','2','F','28007','M980657600','28007','es_sportsandtoys',5.69,1
'C553434543','2','M','28007','M480139044','28007','es_health',149.94,1
'C1275518867','5','F','28007','M480139044','28007','es_health',115.08,1
'C1338125837','3','F','28007','M1888755466','28007','es_otherservices',386.21,1
'C1275518867','5','F','28007','M1888755466','28007','es_otherservices',226.78,1
'C1734948367','3','M','28007','M1888755466','28007','es_otherservices',571.7,1
'C85075290','3','F','28007','M1888755466','28007','es_otherservices',389.98,1
'C1079254393','1','F','28007','M3697346','28007','es_leisure',480.88,1
'C1560676680','2','F','28007','M3697346','28007','es_leisure',504.97,1
'C525850964','2','F','28007','M480139044','28007','es_health',643.71,1
'C1736605496','4','M','28007','M480139044','28007','es_health',17.1,1
'C1360481565','5','F','28007','M1741626453','28007','es_sportsandtoys',60.58,1
'C47809392','3','M','28007','M1741626453','28007','es_sportsandtoys',260.03,1
'C1714895875','2','M','28007','M980657600','28007','es_sportsandtoys',44.8,1
'C1317710133','3','M','28007','M980657600','28007','es_sportsandtoys',356.47,1
'C525850964','2','F','28007','M732195782','28007','es_travel',4883.62,1
'C375144053','6','F','28007','M732195782','28007','es_travel',237.95,1
'C515668508','3','F','28007','M1741626453','28007','es_sportsandtoys',701.22,1
'C1275518867','5','F','28007','M1741626453','28007','es_sportsandtoys',428.54,1
'C1949984685','2','F','28007','M480139044','28007','es_health',716.17,1
'C555482626','3','F','28007','M480139044','28007','es_health',699.94,1
'C1294166760','3','M','28007','M980657600','28007','es_sportsandtoys',332.47,1
'C1994736634','4','F','28007','M980657600','28007','es_sportsandtoys',361.28,1
'C1272326382','1','M','28007','M732195782','28007','es_travel',3334.89,1
'C583110837','3','M','28007','M732195782','28007','es_travel',5107.7,1
'C1685492470','2','F','28007','M50039827','28007','es_health',1025.56,1
'C1667161948','3','M','28007','M50039827','28007','es_health',295.57,1
'C1338125837','3','F','28007','M980657600','28007','es_sportsandtoys',25.54,1
'C1685492470','2','F','28007','M980657600','28007','es_sportsandtoys',66.32,1
'C1991822900','3','F','28007','M923029380','28007','es_home',120.87,1
'C295362058','4','M','28007','M923029380','28007','es_home',181.55,1
'C445134555','0','F','28007','M480139044','28007','es_health',833.47,1
'C553434543','2','M','28007','M480139044','28007','es_health',34.32,1
'C1736605496','4','M','28007','M1748431652','28007','es_wellnessandbeauty',423.5,1
'C126638730','3','F','28007','M1748431652','28007','es_wellnessandbeauty',32.28,1
'C375144053','6','F','28007','M3697346','28007','es_leisure',311.94,1
'C1685492470','2','F','28007','M3697346','28007','es_leisure',275.18,1
'C1859195979','3','F','28007','M980657600','28007','es_sportsandtoys',447.53,1
'C1977646698','3','F','28007','M980657600','28007','es_sportsandtoys',591.16,1
'C1586862598','3','M','28007','M732195782','28007','es_travel',425.25,1
'C583110837','3','M','28007','M732195782','28007','es_travel',175.72,1
'C1667161948','3','M','28007','M2080407379','28007','es_travel',3999.35,1
'C375144053','6','F','28007','M2080407379','28007','es_travel',2973.46,1
'C1038215695','4','M','28007','M2011752106','28007','es_hotelservices',77.87,1
'C885237696','3','M','28007','M2011752106','28007','es_hotelservices',58.19,1
'C402994775','1','M','28007','M1294758098','28007','es_leisure',300.35,1
'C553434543','2','M','28007','M1294758098','28007','es_leisure',318.12,1
'C965421722','1','F','28007','M2122776122','28007','es_home',987.86,1
'C1338396147','1','F','28007','M2122776122','28007','es_home',430.29,1
'C126638730','3','F','28007','M480139044','28007','es_health',702.72,1
'C211657450','1','F','28007','M480139044','28007','es_health',1083.7,1
'C894204131','1','M','28007','M480139044','28007','es_health',580.99,1
'C1931900243','5','F','28007','M480139044','28007','es_health',290.15,1
'C47809392','3','M','28007','M1198415165','28007','es_wellnessandbeauty',158.83,1
'C1490048317','6','F','28007','M1198415165','28007','es_wellnessandbeauty',541.86,1
'C1275518867','5','F','28007','M1294758098','28007','es_leisure',372.92,1
'C1275518867','5','F','28007','M1294758098','28007','es_leisure',336.82,1
'C1981089677','4','M','28007','M3697346','28007','es_leisure',427.51,1
'C446179646','5','F','28007','M3697346','28007','es_leisure',290.64,1
'C1572610482','3','F','28007','M480139044','28007','es_health',697.85,1
'C1173530601','2','M','28007','M480139044','28007','es_health',475.9,1
'C1338125837','3','F','28007','M980657600','28007','es_sportsandtoys',193.16,1
'C1275518867','5','F','28007','M980657600','28007','es_sportsandtoys',34.65,1
'C1032319289','3','F','28007','M855959430','28007','es_hyper',127.28,1
'C594793398','2','F','28007','M855959430','28007','es_hyper',57.72,1
'C525850964','2','F','28007','M1888755466','28007','es_otherservices',215.54,1
'C515668508','3','F','28007','M1888755466','28007','es_otherservices',266,1
'C1808385426','2','M','28007','M209847108','28007','es_wellnessandbeauty',290.17,1
'C1079254393','1','F','28007','M209847108','28007','es_wellnessandbeauty',222.26,1
'C1572610482','3','F','28007','M209847108','28007','es_wellnessandbeauty',390.28,1
'C1855857061','4','F','28007','M209847108','28007','es_wellnessandbeauty',121.22,1
'C150587559','2','F','28007','M480139044','28007','es_health',238.14,1
'C706599076','2','M','28007','M480139044','28007','es_health',386.8,1
'C245117318','3','F','28007','M480139044','28007','es_health',8.25,1
'C1242334684','2','M','28007','M480139044','28007','es_health',437.41,1
'C2109575612','5','M','28007','M151143676','28007','es_barsandrestaurants',259.75,1
'C553434543','2','M','28007','M151143676','28007','es_barsandrestaurants',261.99,1
'C1275518867','5','F','28007','M480139044','28007','es_health',157.03,1
'C1572610482','3','F','28007','M480139044','28007','es_health',194.89,1
'C1572610482','3','F','28007','M480139044','28007','es_health',851.71,1
'C515668508','3','F','28007','M480139044','28007','es_health',301.7,1
'C678697032','2','F','28007','M732195782','28007','es_travel',3682.79,1
'C678697032','2','F','28007','M732195782','28007','es_travel',2832.02,1
'C1952580233','4','F','28007','M3697346','28007','es_leisure',366.36,1
'C1931900243','5','F','28007','M3697346','28007','es_leisure',368.73,1
'C1237476993','1','M','28007','M2122776122','28007','es_home',132.75,1
'C126638730','3','F','28007','M2122776122','28007','es_home',613.67,1
'C1273692645','3','M','28007','M3697346','28007','es_leisure',278.32,1
'C972314568','3','F','28007','M3697346','28007','es_leisure',317.82,1
'C181787207','3','M','28007','M547558035','28007','es_fashion',136.42,1
'C181787207','3','M','28007','M547558035','28007','es_fashion',187.51,1
'C894204131','1','M','28007','M980657600','28007','es_sportsandtoys',592.33,1
'C1572610482','3','F','28007','M980657600','28007','es_sportsandtoys',565.08,1
'C1896850232','2','F','28007','M1888755466','28007','es_otherservices',573.85,1
'C967677653','4','F','28007','M1888755466','28007','es_otherservices',215.28,1
'C21670075','2','F','28007','M855959430','28007','es_hyper',86.81,1
'C1703739582','4','F','28007','M855959430','28007','es_hyper',384.63,1
'C1312615175','4','F','28007','M980657600','28007','es_sportsandtoys',228.93,1
'C60026962','2','F','28007','M980657600','28007','es_sportsandtoys',123.87,1
'C47809392','3','M','28007','M1535107174','28007','es_wellnessandbeauty',249.8,1
'C1947369699','5','F','28007','M1535107174','28007','es_wellnessandbeauty',576.88,1
'C301739259','2','M','28007','M980657600','28007','es_sportsandtoys',32.12,1
'C85075290','3','F','28007','M980657600','28007','es_sportsandtoys',644.15,1
'C52277164','3','F','28007','M480139044','28007','es_health',161.63,1
'C375144053','6','F','28007','M480139044','28007','es_health',661.19,1
'C1317710133','3','M','28007','M980657600','28007','es_sportsandtoys',129.12,1
'C1631930247','3','M','28007','M980657600','28007','es_sportsandtoys',201.7,1
'C999393223','1','F','28007','M855959430','28007','es_hyper',10.77,1
'C605859862','5','F','28007','M855959430','28007','es_hyper',306.04,1
'C966214713','3','M','28007','M923029380','28007','es_home',264.18,1
'C2049382420','3','M','28007','M923029380','28007','es_home',154.45,1
'C553434543','2','M','28007','M732195782','28007','es_travel',5326.55,1
'C126638730','3','F','28007','M732195782','28007','es_travel',297.43,1
'C1338125837','3','F','28007','M980657600','28007','es_sportsandtoys',255.29,1
'C126638730','3','F','28007','M980657600','28007','es_sportsandtoys',97.49,1
'C515668508','3','F','28007','M480139044','28007','es_health',52.14,1
'C375144053','6','F','28007','M480139044','28007','es_health',219.33,1
'C1859195979','3','F','28007','M2080407379','28007','es_travel',3611.11,1
'C1502465707','4','F','28007','M2080407379','28007','es_travel',2503.3,1
'C553434543','2','M','28007','M980657600','28007','es_sportsandtoys',776.51,1
'C1819254965','6','M','28007','M980657600','28007','es_sportsandtoys',27.45,1
'C553434543','2','M','28007','M480139044','28007','es_health',563.2,1
'C1464489812','4','M','28007','M480139044','28007','es_health',817.59,1
'C1338125837','3','F','28007','M3697346','28007','es_leisure',398.85,1
'C1275518867','5','F','28007','M3697346','28007','es_leisure',395.67,1
'C515668508','3','F','28007','M855959430','28007','es_hyper',268.04,1
'C473451132','2','F','28007','M855959430','28007','es_hyper',42.08,1
'C1464489812','4','M','28007','M480139044','28007','es_health',614.25,1
'C301739259','2','M','28007','M480139044','28007','es_health',418.09,1
'C1572610482','3','F','28007','M840466850','28007','es_tech',627.98,1
'C447056233','1','F','28007','M840466850','28007','es_tech',64.27,1
'C1255221015','3','F','28007','M209847108','28007','es_wellnessandbeauty',241.47,1
'C1503009287','2','M','28007','M209847108','28007','es_wellnessandbeauty',61.61,1
'C115540448','5','F','28007','M2080407379','28007','es_travel',5070.57,1
'C2128263275','2','M','28007','M2080407379','28007','es_travel',4762.5,1
'C1572610482','3','F','28007','M980657600','28007','es_sportsandtoys',749.53,1
'C1312615175','4','F','28007','M980657600','28007','es_sportsandtoys',460.96,1
'C1799589925','5','M','28007','M495352832','28007','es_travel',6142.59,1
'C1931900243','5','F','28007','M495352832','28007','es_travel',2981.86,1
'C1152092987','3','M','28007','M1741626453','28007','es_sportsandtoys',925.66,1
'C1338396147','1','F','28007','M1741626453','28007','es_sportsandtoys',70.75,1
'C1572610482','3','F','28007','M209847108','28007','es_wellnessandbeauty',19.13,1
'C375144053','6','F','28007','M209847108','28007','es_wellnessandbeauty',283.87,1
'C1214929092','3','M','28007','M1888755466','28007','es_otherservices',73.79,1
'C706599076','2','M','28007','M1888755466','28007','es_otherservices',628.61,1
'C353985741','2','M','28007','M17379832','28007','es_sportsandtoys',595.15,1
'C446179646','5','F','28007','M17379832','28007','es_sportsandtoys',92.93,1
'C1032319289','3','F','28007','M480139044','28007','es_health',784.69,1
'C382331420','4','F','28007','M480139044','28007','es_health',242.75,1
'C1464489812','4','M','28007','M151143676','28007','es_barsandrestaurants',51.38,1
'C515668508','3','F','28007','M151143676','28007','es_barsandrestaurants',232.54,1
'C1275518867','5','F','28007','M980657600','28007','es_sportsandtoys',969.68,1
'C1572610482','3','F','28007','M980657600','28007','es_sportsandtoys',329.41,1
'C1143401925','1','F','28007','M209847108','28007','es_wellnessandbeauty',4.5,1
'C1013313546','2','F','28007','M209847108','28007','es_wellnessandbeauty',172.21,1
'C810002129','2','F','28007','M980657600','28007','es_sportsandtoys',16.21,1
'C616472041','2','M','28007','M980657600','28007','es_sportsandtoys',152.74,1
'C1275518867','5','F','28007','M692898500','28007','es_health',112.55,1
'C1572610482','3','F','28007','M692898500','28007','es_health',830.57,1
'C446179646','5','F','28007','M1198415165','28007','es_wellnessandbeauty',248.42,1
'C1334695551','2','F','28007','M1198415165','28007','es_wellnessandbeauty',437.38,1
'C1125717761','5','M','28007','M732195782','28007','es_travel',4046.65,1
'C2064491438','5','F','28007','M732195782','28007','es_travel',3065.22,1
'C1312615175','4','F','28007','M495352832','28007','es_travel',672.44,1
'C382789952','3','M','28007','M495352832','28007','es_travel',3020.3,1
'C1928842916','2','M','28007','M1535107174','28007','es_wellnessandbeauty',57.86,1
'C1928842916','2','M','28007','M1535107174','28007','es_wellnessandbeauty',580.48,1
'C128812892','2','F','28007','M1748431652','28007','es_wellnessandbeauty',95.03,1
'C366397964','2','F','28007','M1748431652','28007','es_wellnessandbeauty',249.05,1
'C1906711479','4','F','28007','M480139044','28007','es_health',36.47,1
'C509860014','6','F','28007','M480139044','28007','es_health',223.8,1
'C375144053','6','F','28007','M1198415165','28007','es_wellnessandbeauty',42.62,1
'C179390259','4','F','28007','M1198415165','28007','es_wellnessandbeauty',353.16,1
'C515668508','3','F','28007','M3697346','28007','es_leisure',284.46,1
'C245117318','3','F','28007','M3697346','28007','es_leisure',314.22,1
'C301739259','2','M','28007','M732195782','28007','es_travel',3922.14,1
'C301739259','2','M','28007','M732195782','28007','es_travel',3194.56,1
'C1427325535','1','F','28007','M17379832','28007','es_sportsandtoys',353.57,1
'C1275518867','5','F','28007','M17379832','28007','es_sportsandtoys',845.44,1
'C473451132','2','F','28007','M980657600','28007','es_sportsandtoys',78.07,1
'C1423519115','1','M','28007','M980657600','28007','es_sportsandtoys',154.79,1
'C2027310658','4','F','28007','M480139044','28007','es_health',72.69,1
'C1896850232','2','F','28007','M480139044','28007','es_health',486.91,1
'C515668508','3','F','28007','M732195782','28007','es_travel',2854.69,1
'C1275518867','5','F','28007','M732195782','28007','es_travel',4217.86,1
'C1764447156','3','F','28007','M480139044','28007','es_health',499.7,1
'C1464489812','4','M','28007','M480139044','28007','es_health',514.2,1
'C1312615175','4','F','28007','M980657600','28007','es_sportsandtoys',901.32,1
'C346030769','5','F','28007','M980657600','28007','es_sportsandtoys',423.05,1
'C1763624260','6','F','28007','M209847108','28007','es_wellnessandbeauty',468.82,1
'C2128263275','2','M','28007','M209847108','28007','es_wellnessandbeauty',261.85,1
'C1464489812','4','M','28007','M980657600','28007','es_sportsandtoys',498.38,1
'C1358079072','2','M','28007','M980657600','28007','es_sportsandtoys',656.54,1
'C1275518867','5','F','28007','M980657600','28007','es_sportsandtoys',305.38,1
'C546386486','3','F','28007','M980657600','28007','es_sportsandtoys',278.2,1
'C1476505660','1','F','28007','M151143676','28007','es_barsandrestaurants',95.03,1
'C1871220408','2','M','28007','M151143676','28007','es_barsandrestaurants',125.15,1
'C1349321790','3','F','28007','M980657600','28007','es_sportsandtoys',689.86,1
'C515668508','3','F','28007','M980657600','28007','es_sportsandtoys',526.63,1
'C1338125837','3','F','28007','M480139044','28007','es_health',274.14,1
'C211657450','1','F','28007','M480139044','28007','es_health',626.03,1
'C1685492470','2','F','28007','M1741626453','28007','es_sportsandtoys',648.71,1
'C515668508','3','F','28007','M1741626453','28007','es_sportsandtoys',36.51,1
'C1560676680','2','F','28007','M980657600','28007','es_sportsandtoys',245.49,1
'C1338396147','1','F','28007','M980657600','28007','es_sportsandtoys',766.11,1
'C704456922','2','M','28007','M980657600','28007','es_sportsandtoys',138.06,1
'C655866157','5','M','28007','M980657600','28007','es_sportsandtoys',144.83,1
'C2008428493','2','F','28007','M2011752106','28007','es_hotelservices',346.57,1
'C1572610482','3','F','28007','M2011752106','28007','es_hotelservices',642.15,1
'C176878772','2','F','28007','M980657600','28007','es_sportsandtoys',620.64,1
'C880299982','3','M','28007','M980657600','28007','es_sportsandtoys',293.53,1
'C604378279','5','F','28007','M3697346','28007','es_leisure',374.89,1
'C1079254393','1','F','28007','M3697346','28007','es_leisure',396.61,1
'C926672832','2','M','28007','M980657600','28007','es_sportsandtoys',535.42,1
'C515668508','3','F','28007','M980657600','28007','es_sportsandtoys',284.12,1
'C1275518867','5','F','28007','M980657600','28007','es_sportsandtoys',377.53,1
'C496697462','4','M','28007','M980657600','28007','es_sportsandtoys',441.49,1
'C473451132','2','F','28007','M480139044','28007','es_health',533.84,1
'C473451132','2','F','28007','M480139044','28007','es_health',118.84,1
'C736721523','3','M','28007','M3697346','28007','es_leisure',371.45,1
'C2018553540','4','F','28007','M3697346','28007','es_leisure',319.73,1
'C1565570610','3','F','28007','M2080407379','28007','es_travel',3799.04,1
'C1312615175','4','F','28007','M2080407379','28007','es_travel',2917.32,1
'C1464489812','4','M','28007','M980657600','28007','es_sportsandtoys',396.62,1
'C1464489812','4','M','28007','M980657600','28007','es_sportsandtoys',301.36,1
'C375144053','6','F','28007','M980657600','28007','es_sportsandtoys',634.76,1
'C374616385','1','F','28007','M980657600','28007','es_sportsandtoys',360.09,1
'C1032319289','3','F','28007','M1888755466','28007','es_otherservices',186.8,1
'C1503009287','2','M','28007','M1888755466','28007','es_otherservices',270.6,1
'C1734487337','4','F','28007','M480139044','28007','es_health',313.5,1
'C1572610482','3','F','28007','M480139044','28007','es_health',464.28,1
'C1370669821','2','M','28007','M1649169323','28007','es_sportsandtoys',100.02,1
'C1275518867','5','F','28007','M1649169323','28007','es_sportsandtoys',262.63,1
'C1631930247','3','M','28007','M480139044','28007','es_health',139.04,1
'C1464489812','4','M','28007','M480139044','28007','es_health',105.64,1
'C1367581052','4','M','28007','M857378720','28007','es_hotelservices',378.11,1
'C375144053','6','F','28007','M857378720','28007','es_hotelservices',5.79,1
'C1476505660','1','F','28007','M980657600','28007','es_sportsandtoys',38.66,1
'C445134555','0','F','28007','M980657600','28007','es_sportsandtoys',350.56,1
'C1978250683','3','F','28007','M980657600','28007','es_sportsandtoys',274.91,1
'C1050458046','6','M','28007','M980657600','28007','es_sportsandtoys',780.28,1
'C1499701993','3','M','28007','M1198415165','28007','es_wellnessandbeauty',159.43,1
'C1237476993','1','M','28007','M1198415165','28007','es_wellnessandbeauty',90.15,1
'C1440340988','5','F','28007','M1294758098','28007','es_leisure',400.38,1
'C630302845','3','F','28007','M1294758098','28007','es_leisure',340.11,1
'C525850964','2','F','28007','M480139044','28007','es_health',576.72,1
'C837031785','3','F','28007','M480139044','28007','es_health',532.68,1
'C628112283','3','M','28007','M17379832','28007','es_sportsandtoys',555.92,1
'C1612832553','1','F','28007','M17379832','28007','es_sportsandtoys',324.95,1
'C1338396147','1','F','28007','M1198415165','28007','es_wellnessandbeauty',415.09,1
'C1480193980','4','F','28007','M1198415165','28007','es_wellnessandbeauty',196.12,1
'C1464489812','4','M','28007','M980657600','28007','es_sportsandtoys',19.11,1
'C515668508','3','F','28007','M980657600','28007','es_sportsandtoys',328.51,1
'C1715338428','2','M','28007','M480139044','28007','es_health',1022.83,1
'C615281750','3','F','28007','M480139044','28007','es_health',224.25,1
'C1855857061','4','F','28007','M1741626453','28007','es_sportsandtoys',202.42,1
'C1358079072','2','M','28007','M1741626453','28007','es_sportsandtoys',456.64,1
'C515668508','3','F','28007','M980657600','28007','es_sportsandtoys',380.24,1
'C46027917','5','F','28007','M980657600','28007','es_sportsandtoys',546.86,1
